IDTHEME,LIBTHEME,IDTHEMEPARENT,IDTHEMEPARENT;
"66,""Markov decision processes, POMDPs"",""50"",""Parallel computing methodologies""";
"67,""Real-time planning"",""50"",""Parallel computing methodologies""";
"68,""Routing"",""50"",""Parallel computing methodologies""";
"69,""Scheduling"",""50"",""Parallel computing methodologies""";
"70,""Search in planning and scheduling"",""50"",""Parallel computing methodologies""";
"72,""Constraint optimization"",""71"",""Constraint Satisfaction and Optimization""";
"73,""Constraint programming"",""71"",""Constraint Satisfaction and Optimization""";
"74,""Constraint satisfaction"",""71"",""Constraint Satisfaction and Optimization""";
"75,""Constraint learning and acquisition"",""71"",""Constraint Satisfaction and Optimization""";
"76,""Distributed Constraint Satisfaction/Optimization"",""71"",""Constraint Satisfaction and Optimization""";
"77,""Mixed Discrete/Continuous optimization"",""71"",""Constraint Satisfaction and Optimization""";
"78,""Satisfiability"",""71"",""Constraint Satisfaction and Optimization""";
"79,""Search"",""71"",""Constraint Satisfaction and Optimization""";
"80,""Solvers and Tools"",""71"",""Constraint Satisfaction and Optimization""";
"82,""Genetic Algorithms"",""81"",""Evolutionary computation""";
"83,""Genetic Programming"",""81"",""Evolutionary computation""";
"84,""Differential evolution"",""81"",""Evolutionary computation""";
"85,""Interactive evolution"",""81"",""Evolutionary computation""";
"86,""Gene regulatory networks"",""81"",""Evolutionary computation""";
"87,""Artificial Life"",""81"",""Evolutionary computation""";
"88,""Learning classifier systems"",""81"",""Evolutionary computation""";
"89,""Neuroevolution"",""81"",""Evolutionary computation""";
"91,""Cognitive Systems"",""90"",""Human Centered Computing""";
"102,""Extended Reality - Virtual, Augmented Reality"",""90"",""Human Centered Computing""";
"108,""Human Computer Interaction"",""90"",""Human Centered Computing""";
"116,""Scientific Visualization"",""90"",""Human Centered Computing""";
"122,""Technology Enhanced Learning"",""90"",""Human Centered Computing""";
"92,""Adaptive behavior"",""91"",""Cognitive Systems""";
"93,""Affective computing"",""91"",""Cognitive Systems""";
"94,""Analogical and conceptual reasoning"",""91"",""Cognitive Systems""";
"95,""Brain modeling"",""91"",""Cognitive Systems""";
"96,""Computational creativity"",""91"",""Cognitive Systems""";
"97,""Introspection and meta-cognition"",""91"",""Cognitive Systems""";
"98,""Memory storage and retrieval"",""91"",""Cognitive Systems""";
"99,""Simulating humans"",""91"",""Cognitive Systems""";
"100,""Social cognition and interaction"",""91"",""Cognitive Systems""";
"101,""Structural learning and knowledge capture"",""91"",""Cognitive Systems""";
"103,""3D interaction"",""102"",""Extended Reality - Virtual, Augmented Reality""";
"104,""Modalities"",""102"",""Extended Reality - Virtual, Augmented Reality""";
"105,""Perception"",""102"",""Extended Reality - Virtual, Augmented Reality""";
"106,""Virtual Human, avatar, perceptive visual appeal"",""102"",""Extended Reality - Virtual, Augmented Reality""";
"107,""Systems, Hardware, Sensors"",""102"",""Extended Reality - Virtual, Augmented Reality""";
"109,""Interaction Techniques, Devices"",""108"",""Human Computer Interaction""";
"110,""Interactive Systems and Tools"",""108"",""Human Computer Interaction""";
"111,""Interaction Design Process and Methods"",""108"",""Human Computer Interaction""";
"112,""Collaborative computing"",""108"",""Human Computer Interaction""";
"113,""Ubiquitous and mobile computing"",""108"",""Human Computer Interaction""";
"114,""Interactive data visualization"",""108"",""Human Computer Interaction""";
"115,""Accessibility"",""108"",""Human Computer Interaction""";
"117,""Techniques and systems for data analysis and visualization"",""116"",""Scientific Visualization""";
"118,""Data transformation"",""116"",""Scientific Visualization""";
"119,""Visualization application"",""116"",""Scientific Visualization""";
"120,""Foundations, concepts and theory"",""116"",""Scientific Visualization""";
"121,""Data science & visualization"",""116"",""Scientific Visualization""";
"123,""Artificial Intelligence & Education"",""122"",""Technology Enhanced Learning""";
"124,""CHI for Education"",""122"",""Technology Enhanced Learning""";
"125,""Data science applications in education"",""122"",""Technology Enhanced Learning""";
"126,""Software engineering for Education"",""122"",""Technology Enhanced Learning""";
"127,""Technology-enhanced Pedagogies"",""122"",""Technology Enhanced Learning""";
"128,""Techonologically-Supported Learning contexts"",""122"",""Technology Enhanced Learning""";
"129,""Serious Games"",""122"",""Technology Enhanced Learning""";
"130,""Applications in learning communities"",""122"",""Technology Enhanced Learning""";
"174,""Data Mining & KDD"",""131"",""Information Systems""";
"198,""World Wide Web"",""131"",""Information Systems""";
"132,""Data management systems"",""131"",""Information Systems""";
"147,""Information retrieval"",""131"",""Information Systems""";
"133,""Database Design, Data Models and Query Languages"",""132"",""Data management systems""";
"134,""Data management system Engines"",""132"",""Data management systems""";
"135,""Data management performance and Security"",""132"",""Data management systems""";
"136,""Parallel and distributed DBMS / Cloud Data Management"",""132"",""Data management systems""";
"137,""Data Integration, Metadata Management and Data Quality"",""132"",""Data management systems""";
"138,""Data Management Issues and Support for ML and AI"",""132"",""Data management systems""";
"139,""Novel DB Architectures"",""132"",""Data management systems""";
"140,""Data-Specific Management"",""132"",""Data management systems""";
"145,""Decision support systems "",""132"",""Data management systems""";
"146,""User Interfaces"",""132"",""Data management systems""";
"141,""Graphs,constraints and Semi Structured Data"",""133"",""Database Design, Data Models and Query Languages""";
"142,""Text/ Multimedia Databases"",""133"",""Database Design, Data Models and Query Languages""";
"143,""Spatial and Temporal Databases"",""133"",""Database Design, Data Models and Query Languages""";
"144,""Fuzzy, Probabilistic and Approximate Data"",""133"",""Database Design, Data Models and Query Languages""";
"161,""Structure and multimedia based IR"",""147"",""Information retrieval""";
"166,""Environment specific IR"",""147"",""Information retrieval""";
"171,""Users and Interactive search"",""147"",""Information retrieval""";
"172,""Evaluation"",""147"",""Information retrieval""";
"173,""Ethics in IR : Privacy preserving, Fairness and Explainability"",""147"",""Information retrieval""";
"148,""Search and ranking"",""147"",""Information retrieval""";
"149,""Theoretical models and foundations of information retrieval"",""147"",""Information retrieval""";
"150,""Search engine architectures and Scalability"",""147"",""Information retrieval""";
"151,""Retrieval Tasks"",""147"",""Information retrieval""";
"158,""Content analysis "",""148"",""Search and ranking""";
"159,""Quantitative analysis of science "",""148"",""Search and ranking""";
"160,""Entity search, named-entities, relation and event extraction"",""148"",""Search and ranking""";
"152,""Question answering"",""148"",""Search and ranking""";
"153,""Conversational systems";" intelligent personal assistants and agents"",""148"",""Search and ranking"""
"154,""Opinion retrieval"",""148"",""Search and ranking""";
"155,""Filtering / Recommendation"",""148"",""Search and ranking""";
"156,""Summarization"",""148"",""Search and ranking""";
"157,""Classification/clustering"",""148"",""Search and ranking""";
